celltype,gene,marker_group,marker_order,actual_var_name,mean_expression,fraction_expressing_pct,celltype_n,scaled_mean_expression
Plasma,CD8A,CD8+ T cells,17,CD8A,0.001467997651203758,0.1467997651203758,3406,0.0016220382467117865
Plasma,NKG7,CD8+ T cells,18,NKG7,0.007046388725778039,0.7046388725778039,3406,0.0006893972294356638
Plasma,GZMB,CD8+ T cells,19,GZMB,0.0,0.0,3406,0.0
Plasma,LEF1,CD4+ T cells,20,LEF1,0.01086318261890781,0.9395184967704051,3406,0.09439731103326787
Plasma,IL7R,CD4+ T cells,21,IL7R,0.004697592483852026,0.46975924838520255,3406,0.00029358178027524227
Plasma,CD40LG,CD4+ T cells,22,CD40LG,0.0005871990604815032,0.05871990604815032,3406,0.0015192419223956756
Plasma,MS4A1,B cells,23,MS4A1,0.0064591896652965355,0.5284791544333529,3406,0.002576533002349724
Plasma,CD79A,B cells,24,CD79A,4.514973576042278,86.20082207868467,3406,1.0
Plasma,CD38,Plasma,25,CD38,0.8907809747504404,48.708162066940695,3406,1.0
Plasma,MZB1,Plasma,26,MZB1,13.710510863182618,97.1520845566647,3406,1.0
Plasma,XBP1,Plasma,27,XBP1,6.90223135642983,92.63065179095713,3406,1.0
Plasma,LYZ,Myeloid,28,LYZ,0.03141514973576042,3.1121550205519672,3406,0.0015740056496083275
Plasma,C1QA,Myeloid,29,C1QA,0.03816793893129771,3.69935408103347,3406,0.00247741234975551
Plasma,CD68,Myeloid,30,CD68,0.028772753963593658,2.8185554903112156,3406,0.013663002585600395
Myeloid,LGR5,Stem/TA,1,LGR5,0.0,0.0,146,0.0
Myeloid,OLFM4,Stem/TA,2,OLFM4,0.00684931506849315,0.684931506849315,146,0.02806579378894523
Myeloid,MKI67,Stem/TA,3,MKI67,0.02054794520547945,2.054794520547945,146,0.06344277610049608
Myeloid,FABP1,Enterocytes,4,FABP1,0.5958904109589042,38.35616438356164,146,0.0009601765908861318
Myeloid,ALPI,Enterocytes,5,ALPI,0.0,0.0,146,0.0
Myeloid,SLC26A3,Enterocytes,6,SLC26A3,0.07534246575342465,7.534246575342466,146,0.0009900511423529704
Myeloid,BEST4,Enterocytes,7,BEST4,0.0136986301369863,1.36986301369863,146,0.0
Myeloid,MUC2,Goblet,8,MUC2,0.06164383561643835,6.164383561643835,146,0.0008929434807481447
Myeloid,TFF3,Goblet,9,TFF3,0.0410958904109589,3.4246575342465753,146,0.0
Myeloid,SPDEF,Goblet,10,SPDEF,0.0,0.0,146,0.0
Myeloid,CHGA,Enteroendocrine,11,CHGA,0.0,0.0,146,0.0
Myeloid,NEUROD1,Enteroendocrine,12,NEUROD1,0.0,0.0,146,0.0
Myeloid,TPH1,Enteroendocrine,13,TPH1,0.00684931506849315,0.684931506849315,146,0.011890581128222581
Myeloid,TRPM5,Tuft,14,TRPM5,0.00684931506849315,0.684931506849315,146,0.010079559729616556
Myeloid,POU2F3,Tuft,15,POU2F3,0.0,0.0,146,0.0
Myeloid,SH2D6,Tuft,16,SH2D6,0.00684931506849315,0.684931506849315,146,0.003799537741699081
Myeloid,CD8A,CD8+ T cells,17,CD8A,0.0,0.0,146,0.0
Myeloid,NKG7,CD8+ T cells,18,NKG7,0.17123287671232876,11.643835616438356,146,0.0932950168451953
Myeloid,GZMB,CD8+ T cells,19,GZMB,0.0,0.0,146,0.0
Myeloid,LEF1,CD4+ T cells,20,LEF1,0.0,0.0,146,0.0
Myeloid,IL7R,CD4+ T cells,21,IL7R,0.00684931506849315,0.684931506849315,146,0.0008186364023985226
Myeloid,CD40LG,CD4+ T cells,22,CD40LG,0.0,0.0,146,0.0
Myeloid,MS4A1,B cells,23,MS4A1,0.0,0.0,146,0.0
Myeloid,CD79A,B cells,24,CD79A,0.0136986301369863,1.36986301369863,146,0.0010208819802209554
Myeloid,CD38,Plasma,25,CD38,0.10273972602739725,9.58904109589041,146,0.106095045101413
Myeloid,MZB1,Plasma,26,MZB1,0.07534246575342465,7.534246575342466,146,0.0027996207476405346
Myeloid,XBP1,Plasma,27,XBP1,0.3287671232876712,26.027397260273972,146,0.02640388570861054
Myeloid,LYZ,Myeloid,28,LYZ,15.08904109589041,90.41095890410958,146,1.0
Myeloid,C1QA,Myeloid,29,C1QA,12.123287671232877,89.72602739726028,146,1.0
Myeloid,CD68,Myeloid,30,CD68,1.8767123287671232,69.17808219178082,146,1.0
