pathway,cohens_d,p_value,HC_mean,SLE_mean,HC_n_cells,SLE_n_cells,p_adj,sig
Apoptosis,0.1524348241395958,1.2027599471630408e-32,0.1268925185746762,0.1398705230253966,10650,7527,1.2027599471630408e-32,***
Necroptosis,-0.2050703863813015,1.1054938544422792e-43,0.117253015174737,0.1024139235782294,10650,7527,1.4739918059230389e-43,***
Pyroptosis,0.3720101405946227,2.0185524599006963e-111,0.0022147249165201,0.0453259514665308,10650,7527,4.0371049198013926e-111,***
Ferroptosis,0.5259826427897785,1.660648306897477e-258,-0.2214852946202835,0.3133809469517768,10650,7527,6.642593227589907e-258,***
