celltype,gene,marker_group,marker_order,mean_expression_log1p_cp10k,scaled_mean_expression
Tuft,TFF3,Goblet,8,0.0855019253825438,0.0292436153039519
CD8+ T cells,TFF3,Goblet,8,0.0021301995147189,0.0007285769864265
CD4+ T cells,TFF3,Goblet,8,7.76219543527804e-15,0.0
B cells,TFF3,Goblet,8,0.0255692877680798,0.0087452816031938
Plasma,TFF3,Goblet,8,0.0027540784796105,0.0009419578707036
Myeloid,TFF3,Goblet,8,0.0054546127308795,0.0018656023898876
Stem/TA,FCGBP,Goblet,9,0.111722590588346,0.0433797190240464
Enterocytes,FCGBP,Goblet,9,0.099419288073236,0.0386025848440859
Goblet,FCGBP,Goblet,9,2.5754567595612032,1.0
Enteroendocrine,FCGBP,Goblet,9,0.1812796365345151,0.0703873733703845
Tuft,FCGBP,Goblet,9,0.054757516063998,0.0212612834056384
CD8+ T cells,FCGBP,Goblet,9,0.0006085683223068,0.0002362952979301
CD4+ T cells,FCGBP,Goblet,9,0.0,0.0
B cells,FCGBP,Goblet,9,0.0047571341523715,0.0018471030952901
Plasma,FCGBP,Goblet,9,0.0172477871538994,0.0066969818421016
Myeloid,FCGBP,Goblet,9,4.5161218039427507e-13,1.7535226662909265e-13
Stem/TA,CHGA,Enteroendocrine,10,0.0786894589249346,0.0357824045863727
Enterocytes,CHGA,Enteroendocrine,10,0.0062559307262323,0.0028447551599498
Goblet,CHGA,Enteroendocrine,10,0.0061587698500951,0.0028005732602722
Enteroendocrine,CHGA,Enteroendocrine,10,2.199110424091019,1.0
Tuft,CHGA,Enteroendocrine,10,0.194536893553837,0.0884616304041426
CD8+ T cells,CHGA,Enteroendocrine,10,0.001464478947578,0.000665941524143
CD4+ T cells,CHGA,Enteroendocrine,10,0.0,0.0
B cells,CHGA,Enteroendocrine,10,0.0166688697662379,0.0075798239068089
Plasma,CHGA,Enteroendocrine,10,0.0,0.0
Myeloid,CHGA,Enteroendocrine,10,0.0086819207274469,0.0039479239570407
Stem/TA,CHGB,Enteroendocrine,11,0.1276623626259646,0.055758789864552
Enterocytes,CHGB,Enteroendocrine,11,0.0107338989777522,0.0046882198105746
Goblet,CHGB,Enteroendocrine,11,0.0103130431006097,0.0045044035789606
Enteroendocrine,CHGB,Enteroendocrine,11,2.289546866710685,1.0
Tuft,CHGB,Enteroendocrine,11,0.2274124548539427,0.0993264030365355
CD8+ T cells,CHGB,Enteroendocrine,11,0.0044928718641771,0.0019623410769625
CD4+ T cells,CHGB,Enteroendocrine,11,0.0,0.0
B cells,CHGB,Enteroendocrine,11,0.0139027211787595,0.0060722588302955
Plasma,CHGB,Enteroendocrine,11,1.9861871964241243e-16,8.675023103054502e-17
Myeloid,CHGB,Enteroendocrine,11,0.0,0.0
Stem/TA,TPH1,Enteroendocrine,12,0.0327876272243988,0.0209109271083961
Enterocytes,TPH1,Enteroendocrine,12,0.0048275211792231,0.003078842601268
Goblet,TPH1,Enteroendocrine,12,0.0055374297771928,0.0035316001870539
Enteroendocrine,TPH1,Enteroendocrine,12,1.5679662147181428,1.0
Tuft,TPH1,Enteroendocrine,12,0.1344354471472483,0.085738739703275
CD8+ T cells,TPH1,Enteroendocrine,12,0.0033266460810965,0.002121631225131
CD4+ T cells,TPH1,Enteroendocrine,12,0.0,0.0
B cells,TPH1,Enteroendocrine,12,0.0,0.0
Plasma,TPH1,Enteroendocrine,12,0.0,0.0
Myeloid,TPH1,Enteroendocrine,12,0.0,0.0
Stem/TA,DCLK1,Tuft,13,0.1495083478528988,0.0697660508905588
Enterocytes,DCLK1,Tuft,13,0.0077956302556189,0.0036377255514361
Goblet,DCLK1,Tuft,13,0.0147524255920627,0.006884020119249
Enteroendocrine,DCLK1,Tuft,13,0.154842500455084,0.0722551611459154
Tuft,DCLK1,Tuft,13,2.142995711301342,1.0
CD8+ T cells,DCLK1,Tuft,13,0.0090863776776807,0.0042400353998669
CD4+ T cells,DCLK1,Tuft,13,0.0,0.0
B cells,DCLK1,Tuft,13,0.0130628742485537,0.0060956138081215
Plasma,DCLK1,Tuft,13,0.0,0.0
Myeloid,DCLK1,Tuft,13,0.0232511889492041,0.0108498532342301
Stem/TA,TRPM5,Tuft,14,0.0032480118098656,0.0037469277569173
Enterocytes,TRPM5,Tuft,14,0.0009334169869539,0.0010767959668658
Goblet,TRPM5,Tuft,14,0.0022934826963595,0.0026457767021957
Enteroendocrine,TRPM5,Tuft,14,0.0,0.0
Tuft,TRPM5,Tuft,14,0.8668466596051627,1.0
CD8+ T cells,TRPM5,Tuft,14,0.0005420472205522,0.0006253092338143
CD4+ T cells,TRPM5,Tuft,14,0.0,0.0
B cells,TRPM5,Tuft,14,0.0,0.0
Plasma,TRPM5,Tuft,14,0.0,0.0
Myeloid,TRPM5,Tuft,14,0.0,0.0
Stem/TA,POU2F3,Tuft,15,0.0087381501655074,0.0137536158413228
Enterocytes,POU2F3,Tuft,15,0.0006947827457111,0.0010935695538182
Goblet,POU2F3,Tuft,15,0.0,0.0
Enteroendocrine,POU2F3,Tuft,15,0.0,0.0
Tuft,POU2F3,Tuft,15,0.6353347560612852,1.0
CD8+ T cells,POU2F3,Tuft,15,0.0024678645817398,0.0038843531826264
CD4+ T cells,POU2F3,Tuft,15,0.0,0.0
B cells,POU2F3,Tuft,15,0.0019222801317802,0.0030256177762056
Plasma,POU2F3,Tuft,15,0.0,0.0
Myeloid,POU2F3,Tuft,15,0.0,0.0
Stem/TA,CD8A,CD8+ T cells,16,0.0029480160069238,0.0039627220584669
Enterocytes,CD8A,CD8+ T cells,16,0.0003233185127203,0.00043460462876
Goblet,CD8A,CD8+ T cells,16,2.481595277532989e-16,3.335759481417644e-16
Enteroendocrine,CD8A,CD8+ T cells,16,0.0,0.0
Tuft,CD8A,CD8+ T cells,16,0.0,0.0
CD8+ T cells,CD8A,CD8+ T cells,16,0.7439371127795914,1.0
CD4+ T cells,CD8A,CD8+ T cells,16,0.0,0.0
B cells,CD8A,CD8+ T cells,16,0.0,0.0
Plasma,CD8A,CD8+ T cells,16,9.081522044199362e-16,1.2207378672463102e-15
Myeloid,CD8A,CD8+ T cells,16,0.0,0.0
Stem/TA,NKG7,CD8+ T cells,17,0.0019583076947228,0.0017438995739583
Enterocytes,NKG7,CD8+ T cells,17,0.0002754002730059,0.0002452476799521
Goblet,NKG7,CD8+ T cells,17,4.016860483355188e-17,3.577068764244722e-17
Enteroendocrine,NKG7,CD8+ T cells,17,0.0,0.0
Tuft,NKG7,CD8+ T cells,17,0.0,0.0
CD8+ T cells,NKG7,CD8+ T cells,17,1.122947515995915,1.0
CD4+ T cells,NKG7,CD8+ T cells,17,0.2640703876010832,0.2351582632665478
B cells,NKG7,CD8+ T cells,17,0.0092830676435924,0.0082666976963384
Plasma,NKG7,CD8+ T cells,17,0.0,0.0
Myeloid,NKG7,CD8+ T cells,17,0.0,0.0
Stem/TA,GZMB,CD8+ T cells,18,0.0027782564693856,0.0043207003337073
Enterocytes,GZMB,CD8+ T cells,18,0.0002788601506033,0.000433678877039
Goblet,GZMB,CD8+ T cells,18,0.0028270155963752,0.0043965297535527
