pathway,cohens_d,p_value,HC_mean,SLE_mean,p_adj,HC_n_cells,SLE_n_cells,sig
Apoptosis,-0.1315016248633951,1.418121177424185e-88,0.2310404983345868,0.1911579807222914,2.83624235484837e-88,10389,10297,***
Necroptosis,-0.0070732759842485,5.308910869265265e-75,0.3626527849782121,0.3579153309746433,7.07854782568702e-75,10389,10297,***
Pyroptosis,0.6628182392767227,0.0,-0.0616850251053662,0.2654523374663975,0.0,10389,10297,***
Ferroptosis,0.1232880112296771,8.873553824734792e-11,-0.0022144076133508,0.0022341925507527,8.873553824734792e-11,10389,10297,***
